rate_date,currency_pair,rate,daily_move
2026-08-17,EUR/CAD,1.606700,
2026-08-17,EUR/GBP,0.855000,
2026-08-17,EUR/INR,110.837500,
2026-08-17,EUR/USD,1.159300,
2026-08-18,EUR/CAD,1.606000,-0.000700
2026-08-18,EUR/GBP,0.855850,0.000850
2026-08-18,EUR/INR,110.767300,-0.070200
2026-08-18,EUR/USD,1.157600,-0.001700
2026-08-19,EUR/CAD,1.609800,0.003800
2026-08-19,EUR/GBP,0.856080,0.000230
2026-08-19,EUR/INR,111.126500,0.359200
2026-08-19,EUR/USD,1.160500,0.002900
2026-08-20,EUR/CAD,1.608500,-0.001300
2026-08-20,EUR/GBP,0.857250,0.001170
2026-08-20,EUR/INR,111.798500,0.672000
2026-08-20,EUR/USD,1.168100,0.007600
2026-08-21,EUR/CAD,1.607400,-0.001100
2026-08-21,EUR/GBP,0.856700,-0.000550
2026-08-21,EUR/INR,111.959500,0.161000
2026-08-21,EUR/USD,1.169900,0.001800
2026-08-24,EUR/CAD,1.615400,0.008000
2026-08-24,EUR/GBP,0.855500,-0.001200
2026-08-24,EUR/INR,111.687500,-0.272000
2026-08-24,EUR/USD,1.166400,-0.003500
2026-08-25,EUR/CAD,1.616300,0.000900
2026-08-25,EUR/GBP,0.855500,0.000000
2026-08-25,EUR/INR,111.276000,-0.411500
2026-08-25,EUR/USD,1.166200,-0.000200
2026-08-26,EUR/CAD,1.617600,0.001300
2026-08-26,EUR/GBP,0.856130,0.000630
2026-08-26,EUR/INR,111.347500,0.071500
2026-08-26,EUR/USD,1.166900,0.000700
2026-08-27,EUR/CAD,1.615100,-0.002500
2026-08-27,EUR/GBP,0.857400,0.001270
2026-08-27,EUR/INR,111.257500,-0.090000
2026-08-27,EUR/USD,1.164500,-0.002400
2026-08-28,EUR/CAD,1.613000,-0.002100
2026-08-28,EUR/GBP,0.857200,-0.000200
2026-08-28,EUR/INR,111.058500,-0.199000
2026-08-28,EUR/USD,1.164300,-0.000200
2026-08-31,EUR/CAD,1.610200,-0.002800
2026-08-31,EUR/GBP,0.856480,-0.000720
2026-08-31,EUR/INR,110.361000,-0.697500
2026-08-31,EUR/USD,1.159600,-0.004700
2026-09-01,EUR/CAD,1.609600,-0.000600
2026-09-01,EUR/GBP,0.856550,0.000070
2026-09-01,EUR/INR,110.048500,-0.312500
2026-09-01,EUR/USD,1.159000,-0.000600
2026-09-02,EUR/CAD,1.612200,0.002600
2026-09-02,EUR/GBP,0.858700,0.002150
2026-09-02,EUR/INR,109.962000,-0.086500
2026-09-02,EUR/USD,1.157800,-0.001200
2026-09-03,EUR/CAD,1.601900,-0.010300
2026-09-03,EUR/GBP,0.860550,0.001850
2026-09-03,EUR/INR,109.750000,-0.212000
2026-09-03,EUR/USD,1.161500,0.003700
2026-09-04,EUR/CAD,1.603800,0.001900
2026-09-04,EUR/GBP,0.858980,-0.001570
2026-09-04,EUR/INR,109.816500,0.066500
2026-09-04,EUR/USD,1.162200,0.000700
2026-09-07,EUR/CAD,1.606200,0.002400
2026-09-07,EUR/GBP,0.858940,-0.000040
2026-09-07,EUR/INR,109.821000,0.004500
2026-09-07,EUR/USD,1.162200,0.000000
2026-09-08,EUR/CAD,1.603300,-0.002900
2026-09-08,EUR/GBP,0.857400,-0.001540
2026-09-08,EUR/INR,110.131500,0.310500
2026-09-08,EUR/USD,1.161400,-0.000800
2026-09-09,EUR/CAD,1.604300,0.001000
2026-09-09,EUR/GBP,0.858980,0.001580
2026-09-09,EUR/INR,110.822500,0.691000
2026-09-09,EUR/USD,1.165200,0.003800
2026-09-10,EUR/CAD,1.604900,0.000600
2026-09-10,EUR/GBP,0.859150,0.000170
2026-09-10,EUR/INR,110.864500,0.042000
2026-09-10,EUR/USD,1.161600,-0.003600
2026-09-11,EUR/CAD,1.606400,0.001500
2026-09-11,EUR/GBP,0.858150,-0.001000
2026-09-11,EUR/INR,110.767500,-0.097000
2026-09-11,EUR/USD,1.159200,-0.002400
2026-09-14,EUR/CAD,1.604100,-0.002300
2026-09-14,EUR/GBP,0.855980,-0.002170
2026-09-14,EUR/INR,110.375500,-0.392000
2026-09-14,EUR/USD,1.155100,-0.004100
2026-09-15,EUR/CAD,1.606200,0.002100
2026-09-15,EUR/GBP,0.855800,-0.000180
2026-09-15,EUR/INR,110.728500,0.353000
2026-09-15,EUR/USD,1.153900,-0.001200
